method,bin,bin_count,positive_count,mean_predicted_probability,observed_no_show_rate,min_predicted_probability,max_predicted_probability
uncalibrated,1,33,3,0.0313376390496,0.0909090909091,0.0230812248497,0.0380484874634
uncalibrated,2,33,2,0.0429158282349,0.0606060606061,0.0389474461984,0.0473969931797
uncalibrated,3,33,0,0.0525370687559,0,0.0476811098304,0.0577335790997
uncalibrated,4,33,1,0.0609472597313,0.030303030303,0.0577719566228,0.065067301257
uncalibrated,5,32,1,0.068546472417,0.03125,0.0651129461917,0.0721548363453
uncalibrated,6,33,3,0.0771082882725,0.0909090909091,0.0722134560634,0.0828947068185
uncalibrated,7,33,3,0.0894532175835,0.0909090909091,0.0834329868014,0.0953330240895
uncalibrated,8,33,4,0.104967862232,0.121212121212,0.0956951396547,0.117287903255
uncalibrated,9,33,2,0.128778686139,0.0606060606061,0.117857907629,0.141742473563
uncalibrated,10,32,6,0.193539339196,0.1875,0.143051244972,0.414105236778
sigmoid,1,33,3,0.0353831863772,0.0909090909091,0.0299880126328,0.0394830328343
sigmoid,2,33,2,0.0421788003819,0.0606060606061,0.0399954660245,0.0445859742555
sigmoid,3,33,0,0.0471909808979,0,0.0447340008925,0.0497548276744
sigmoid,4,33,1,0.0512740161783,0.030303030303,0.0497732672063,0.0531928134761
sigmoid,5,32,1,0.0547634940096,0.03125,0.0532137048118,0.0563700096519
sigmoid,6,33,3,0.0585075394054,0.0909090909091,0.0563957578405,0.060960137897
sigmoid,7,33,3,0.063641812662,0.0909090909091,0.06118396935,0.0660021900154
sigmoid,8,33,4,0.0697205076357,0.121212121212,0.0661452054694,0.074357319236
sigmoid,9,33,2,0.0784940993547,0.0606060606061,0.0745666750313,0.0830690855512
sigmoid,10,32,6,0.0998821535786,0.1875,0.0835215580602,0.168333793821
isotonic,1,33,3,0.00044442593972,0.0909090909091,0,0.0146660560108
isotonic,2,33,2,0.0204081632653,0.0606060606061,0.0204081632653,0.0204081632653
isotonic,3,33,1,0.0500960397698,0.030303030303,0.0204081632653,0.0522875816993
isotonic,4,33,1,0.0522875816993,0.030303030303,0.0522875816993,0.0522875816993
isotonic,5,32,0,0.053424877229,0,0.0522875816993,0.0609756097561
isotonic,6,33,3,0.0611021220777,0.0909090909091,0.0609756097561,0.0630630630631
isotonic,7,33,4,0.0630630630631,0.121212121212,0.0630630630631,0.0630630630631
isotonic,8,33,4,0.0751274575637,0.121212121212,0.0630630630631,0.0802675585284
isotonic,9,33,1,0.0802675585284,0.030303030303,0.0802675585284,0.0802675585284
isotonic,10,32,6,0.112496164016,0.1875,0.0802675585284,0.333333333333
