rank,feature,importance_mean,importance_std
1,patient_prior_no_show_rate_smoothed,0.0140087932037,0.00467858852182
2,reminder_sent_by_prediction_time,0.0122889518546,0.00448867872441
3,visit_type,0.00959663996869,0.0127813342655
4,visit_type_prior_no_show_rate_smoothed,0.00551164803883,0.00547034835606
5,patient_prior_no_show_count,0.00314170935762,0.0023288470535
6,patient_prior_completed_count,0.00183021667456,0.000976279450418
7,patient_mean_prior_booking_lead_days,0.00164439268219,0.000784830327353
8,patient_history_available,0.00154336751612,0.00153370551631
9,patient_days_since_last_known_status_update,0.00140971178633,0.000807911500203
10,dentist_prior_attendance_count,0.0010967304609,0.0044763729512
11,patient_days_since_last_completed_appointment,0.00105238522891,0.000445696682371
12,patient_registration_tenure_days,0.00093319044864,0.0019275596694
13,dentist_prior_no_show_rate_smoothed,0.000837273544932,0.00233593007557
14,patient_prior_attendance_count,0.000770078448764,0.000462636489775
15,patient_prior_cancelled_count,0.000607960918979,0.000415760628444
16,dentist_tenure_days,0.000596659808541,0.00123163877078
17,patient_prior_known_appointment_count,0.000388684891213,0.000416853644137
18,patient_prior_rescheduled_count,0.000345489527189,0.000698222340847
19,weekday_hour_prior_no_show_rate_smoothed,0.000157283220056,0.000590669918933
20,dentist_no_show_rate_supported,0,0
21,visit_type_no_show_rate_supported,0,0
22,weekday_hour_no_show_rate_supported,0,0
23,weekday_hour_prior_attendance_count,-3.84094695553e-05,0.000125920702677
24,approximate_age_at_prediction,-0.000408046383282,0.00032878899801
25,booking_lead_time_hours,-0.000694658007122,0.00350000186234
26,scheduled_hour,-0.00121571379672,0.00404856974269
27,booking_channel,-0.00123165276883,0.00133552870798
28,planned_duration_min,-0.00215861093359,0.00240159410338
29,visit_type_prior_attendance_count,-0.0024040269074,0.00691811991923
30,patient_completed_history_available,-0.00240664473686,0.000861804135268
31,scheduled_weekday,-0.00268169147116,0.00142351480858
32,scheduled_month,-0.00977130671571,0.00598803515249
