subgroup_feature,subgroup_value,sample_size,positive_count,negative_count,prevalence,supported_for_quantitative_reporting,average_precision,roc_auc,brier_score,log_loss
patient_history_available,false,84,11,73,0.130952380952,False,,,,
patient_history_available,true,979,81,898,0.0827374872319,True,0.111155938261,0.565619071187,0.0768801084248,0.289290205464
reminder_sent_by_prediction_time,false,447,51,396,0.114093959732,True,0.136388323827,0.512576747871,0.103594330574,0.366738598741
reminder_sent_by_prediction_time,true,616,41,575,0.0665584415584,True,0.0824305121629,0.564835630965,0.0628950198865,0.247976706952
visit_type,consultation,102,11,91,0.107843137255,True,0.120059937091,0.478521478521,0.0998676442635,0.369078849852
visit_type,emergency,88,10,78,0.113636363636,False,,,,
visit_type,follow_up,153,12,141,0.078431372549,True,0.152833410322,0.613475177305,0.0715174751102,0.272594029644
visit_type,new_patient_examination,111,13,98,0.117117117117,True,0.147530622409,0.580847723705,0.104068324831,0.363799639231
visit_type,recall_examination,193,16,177,0.0829015544041,True,0.144187325238,0.709392655367,0.0748936841197,0.272831698684
visit_type,treatment,416,30,386,0.0721153846154,True,0.122357793403,0.597495682211,0.0690620165164,0.264502040832
booking_channel,in_person,169,17,152,0.100591715976,True,0.184481842681,0.667569659443,0.0885445830066,0.313384325621
booking_channel,online,288,25,263,0.0868055555556,True,0.08410486135,0.483041825095,0.0824091911991,0.31373897742
booking_channel,other,50,3,47,0.06,False,,,,
booking_channel,phone,398,34,364,0.0854271356784,True,0.144838384495,0.581124757595,0.0779367117162,0.292102762956
booking_channel,referral,158,13,145,0.0822784810127,True,0.11105197199,0.553315649867,0.0766954805611,0.287435946249
scheduled_weekday,0,189,19,170,0.100529100529,True,0.125898501412,0.559133126935,0.091398486972,0.331483631721
scheduled_weekday,1,173,10,163,0.0578034682081,True,0.104554442248,0.503680981595,0.0575446108176,0.237828085035
scheduled_weekday,2,192,13,179,0.0677083333333,True,0.0698008110715,0.45294370434,0.0668122096955,0.265956125777
scheduled_weekday,3,170,15,155,0.0882352941176,True,0.115757591833,0.593548387097,0.0858677609628,0.312366400393
scheduled_weekday,5,137,17,120,0.124087591241,True,0.277760793428,0.626960784314,0.105165599983,0.370375758107
scheduled_weekday,6,202,18,184,0.0891089108911,True,0.188396296056,0.650966183575,0.0791451261613,0.287048499684
