scenario_id,scenario_family,capacity_fraction,false_negative_to_false_positive_cost_ratio,threshold,selected_count,selected_fraction,precision,recall,true_positive,false_positive,true_negative,false_negative,scenario_cost
capacity_0.05_cost_1,capacity_cost,0.05,1,0.173082792343,53,0.0498588899341,0.0943396226415,0.054347826087,5,48,923,87,135
capacity_0.05_cost_2,capacity_cost,0.05,2,0.173082792343,53,0.0498588899341,0.0943396226415,0.054347826087,5,48,923,87,222
capacity_0.05_cost_5,capacity_cost,0.05,5,0.173082792343,53,0.0498588899341,0.0943396226415,0.054347826087,5,48,923,87,483
capacity_0.05_cost_10,capacity_cost,0.05,10,0.173082792343,53,0.0498588899341,0.0943396226415,0.054347826087,5,48,923,87,918
capacity_0.10_cost_1,capacity_cost,0.1,1,0.149200302397,106,0.0997177798683,0.132075471698,0.152173913043,14,92,879,78,170
capacity_0.10_cost_2,capacity_cost,0.1,2,0.149200302397,106,0.0997177798683,0.132075471698,0.152173913043,14,92,879,78,248
capacity_0.10_cost_5,capacity_cost,0.1,5,0.149200302397,106,0.0997177798683,0.132075471698,0.152173913043,14,92,879,78,482
capacity_0.10_cost_10,capacity_cost,0.1,10,0.149200302397,106,0.0997177798683,0.132075471698,0.152173913043,14,92,879,78,872
capacity_0.20_cost_1,capacity_cost,0.2,1,0.118593479612,212,0.199435559737,0.108490566038,0.25,23,189,782,69,258
capacity_0.20_cost_2,capacity_cost,0.2,2,0.118593479612,212,0.199435559737,0.108490566038,0.25,23,189,782,69,327
capacity_0.20_cost_5,capacity_cost,0.2,5,0.118593479612,212,0.199435559737,0.108490566038,0.25,23,189,782,69,534
capacity_0.20_cost_10,capacity_cost,0.2,10,0.118593479612,212,0.199435559737,0.108490566038,0.25,23,189,782,69,879
cost_threshold_1,cost_threshold,,1,0.5,1,0.000940733772342,0,0,0,1,970,92,93
cost_threshold_2,cost_threshold,,2,0.333333333333,3,0.00282220131703,0.333333333333,0.0108695652174,1,2,969,91,184
cost_threshold_5,cost_threshold,,5,0.166666666667,63,0.0592662276576,0.111111111111,0.0760869565217,7,56,915,85,481
cost_threshold_10,cost_threshold,,10,0.0909090909091,388,0.365004703669,0.105670103093,0.445652173913,41,347,624,51,857
